procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 12/2013/2014,Provision of Inpatient Medical Insurance Cover,Plan and Place Insurance Brokers Ltd,"19,538,935.00",Open tender,6/26/2014,7/11/2014,8/1/2014,8/31/2015,16,16,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 15/2014/2015,Provision of Security Services,Hatari Security Services,"7,864,800.00",Open tender,6/26/2014,7/11/2014,8/1/2014,8/31/2015,17,17,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 16/2013/2014,Audio Visual Installation Works for the proposed Research Labs in Nairobi,Avtech Systems Ltd,"179,900,280.00",Open tender,6/26/2014,8/20/2014,9/5/2014,3/1/2016,7,5,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 17/2013/2014,Lift and Escalator Installation Works for the proposed Research Labs in Nairobi,Ultra Electric Ltd,"119,532,786.00",Open tender,6/26/2014,8/20/2014,9/5/2014,3/1/2016,6,6,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 01/2014/2015,"Supply, Installation, Training and Commissioning of Leather Processing and Production Equipment",Equip Agencies Ltd,"220,260,000.00",Open tender,1/2/2015,3/13/2015,3/30/2015,8/31/2015,-19,-19,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 01/2014/2015,"Supply, Installation , Training and Commissioning of Leather Goods Equipment",Precision Civil Engineering Ltd,"129,757,720.00",Open tender,1/2/2015,3/13/2015,3/30/2015,8/30/2015,,,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 01/2014/2015,"Supply, Installation, Training and Commissioning Leather Lab Equipment",Plan & Trend EA. Ltd,"9,191,000.00",Open tender,1/2/2015,3/13/2015,3/30/2015,8/30/2015,,,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,KIRDI 01/2014/2015,"Supply, Installation, Training and Commissioning of Assorted Leather Lab Equipments",Jawalett Agencies,"5,062,200.00",Open tender,1/2/2015,3/13/2015,3/30/2015,8/30/2015,,,1
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(788),Provision of Business Valuation Services,Deloitte Consulting Limited,"15,423,176.00",Restricted Tender,10/8/2014,12/19/2014,2/3/2015,6/30/2015,,,1
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(918),Re-construction of service station and construction of commercial block at National Oil Service station in Magongo,Solex Building Contractors Ltd,"93,698,799.00",Open tender,8/26/2014,10/2/2014,1/8/2015,8/31/2015,,,1
NATIONAL OIL CORPORATION OF KENYA,NOCK/PRC/03/(947),Tender for Reconstruction of  Embulbul Service Station,Sonata (K) Ltd,"42,828,765.00",Open tender,10/4/2014,12/10/2014,2/19/2015,6/30/2015,,,1
UNIVERSITY OF NAIROBI,UON/T/10/2014-2015,Provision of waste management services to the University of Nairobi,Zoa Taka Limited,"10,334,208.00",Open tender,7/31/2014,11/24/2014,1/7/2015,12/16/2016,,,1
UNIVERSITY OF NAIROBI,UONT/09/2014-2015,Provision of Cleaning Services to the University of Nairobi,Ms. Creative Consolidated Limited,"22,722,000.00",Open tender,7/31/2014,11/24/2014,1/5/2015,12/31/2016,,,1
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/PT/025/2013,Contract for Consultancy Services for the Project Management and Supervision of the Lamu-Kitui-Nairobi East (520KM) and Dongo Kundu- Mariakani (50KM) Double Circuit 400kV Transmission Lines and Substations,INCEPSION CONSULTANTS - NACONSULT - CIVOTECH ASSOCIATES JV,"410,123,422.96",Request for proposals,11/22/2014,5/13/2014,8/8/2014,8/8/2015,14,9,1
TOURISM FUND,TF/08/2014-2015,"Supply,delivery,installation and commissioning of kitchen equipment at the Ronald Ngala Utalii College in Kilifi(A vision 2030 flagship project)","STAINLESS STEEL PRODUCTS lIMITED,SHIMO  LA TEWA RD.P.O.BOX 49497-00100","63,675,000.00",Restricted Tender,6/25/2013,11/15/2014,12/7/2014,12/31/2017,,,1
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/014/2014,"Consultancy Services for Provision of Cadastral Survey Services for 5000+MW Transmission Lines, Lot 3 - Lamu-Kitui-Nairobi Transmission Line (520KM)",Geoacre Surveys Limited,"14,833,295.00",Request for proposals,3/11/2014,8/24/2014,10/30/2014,1/30/2015,,,1
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/014/2014,"Consultancy Services for Provision of Cadastral Survey Services for 5000+MW Transmission Lines, Lot Two - Mariakani  - Dongo Kundu Transmission Line (50KM)",Juliko Geospatial Consultants,"6,989,800.00",Restricted Tender,3/11/2014,8/24/2014,10/30/2014,1/30/2015,,,1
TOURISM FUND,TF/06/2014-2015,"Supply,delivery,installations and commissioning of plumbing,drainage,fire fighting and solar water heating at the proposed Ronald Ngala Utalii College in Kilifi (A vision 2030 flagship project)",VOLCANIC PLUMBING WORKS P.O.BOX 33216-00600 NAIROBI,"175,000,000.00",Restricted Tender,6/25/2013,11/15/2014,12/31/2014,12/31/2017,,,1
TOURISM FUND,TF/10/2014-2015,"Supply,delivery,installation and commissioning of CCTV surveillance,door access control and fire fighting alarm systems at the proposed Ronald Ngala Utalii College (Avision 2030 flagship project)",XTRANET COMMUNICATIONS LIMITED CIDATEL BUILDING WESTLANDS P.O.BOX 27346-00100,"56,647,576.38",Restricted Tender,6/25/2013,11/15/2014,12/31/2014,12/31/2017,,,1
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/014/2014,"Consultancy Services for Provision of Cadastral Survey Services for 5000+MW Transmission Lines, Lot One - Silali  - Rongai Transmission Line (150KM)",Opiko and Associates Limited,"9,751,505.00",Restricted Tender,3/11/2014,8/24/2014,10/30/2014,1/30/2015,,,1
TOURISM FUND,TF/12/2014-2015,"Supply,delivery,installation and commissioning of EPABX equipment,data and telephone instruments,structured cabling,computer networking and internet installations at the proposed Ronald Ngala Utalii College in Kilifi(Avision 2030 flagship project)",MASTER POWER SYSTEMS LIMITED P.O.BOX 976-00606 NAIROBI,"76,976,976.00",Restricted Tender,6/25/2013,11/15/2014,12/31/2014,12/31/2017,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/022/2014,Contract for Supply of Integrated Enterprise Resource Planning (ERP) Software,ENTERPRISE INFORMATION MANAGEMENT SOLUTIONS LIMITED,"54,044,257.00",Open tender,5/14/2014,8/14/2014,11/20/2014,12/10/2014,,,2
TOURISM FUND,TF/11/2014-2015,"Supply,delivery,installation and commissioning of 830KVA standby Generator at the Ronald Ngala Utalii College in Kilifi9Avision 2030 flagship project)",CENTRAL ELECTRICALS INTERNATIONAL LIMITED P.O.BOX 999 MOMBASA,"28,880,689.05",Restricted Tender,6/25/2013,11/15/2014,12/31/2014,12/31/2017,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/032/2014,"Contract for Supply, Installation and Commissioning of Network and Security Infrastructure",COMPUTECH LIMITED,"16,614,080.00",Restricted Tender,9/14/2014,11/3/2014,11/25/2014,12/15/2014,,,2
TOURISM FUND,TF/11/2013-2014,"Supply and installation of Aluco Bond Cladding,Aluminium window shop fronts and doors at Tourism Fund  valley Road office Block",CEMENTERS LIMITED,"115,355,580.00",Open tender,9/27/2013,11/28/2013,1/15/2014,6/30/2014,,,2
TOURISM FUND,TF/07/2013-2014,Supply and installation of a standby generator at the Tourism Fund Office Block in Nairobi,Contemporay Electricals,"10,870,455.00",Open tender,9/27/2013,11/28/2013,1/3/2014,6/30/2013,,,2
