name,type,rec
KENYA CIVIL AVIATION AUTHORITY,Parastatal,1
KENYA RURAL ROADS AUTHORITY,Parastatal,1
NATIONAL COUNCIL FOR LAW REPORTING,Parastatal,1
KENYA NATIONAL HIGHWAYS AUTHORITY,Parastatal,1
GITHUNGURI DAIRY FARMERS CO-OPERATIVE SOCIETY,Co-operative Society,1
ETHIC AND ANTI-CORRUPTION COMMISSION,Parastatal,1
KENYA FOREST SERVICE,Parastatal,1
MINISTRY OF STATE FOR PLANNING & NATIONAL DEVELOPMENT & VISION 2030,Ministry,1
RETIREMENT BENEFIT AUTHORITY,Parastatal,1
LAIKIPIA UNIVERSITY,University,1
NATIONAL COUNCIL FOR POLULATION AND DEVELOPMENT,Parastatal,1
KENYA FORESTRY RESEARCH INSTITUTE,Schools And Colleges,1
KARATINA UNIVERSITY COLLEGE,University,1
EGERTON UNIVERSITY,University,1
KENYA NATIONAL EXAMINATIONS COUNCIL,Parastatal,1
PUBLIC PROCUREMENT OVERSIGHT AUTHORITY,Parastatal,1
KENYA VETERINARY VACCINES PRODUCTION INSTITUTE,Schools And Colleges,1
KENYA MARITIME AUTHORITY,Parastatal,1
MOI TEACHING REFFERAL HOSPITAL,Schools And Colleges,1
BRAND KENYA BOARD,Parastatal,1
KENYA WILD LIFE SERVICE,Parastatal,1
GEOTHERMAL DEVELOPMENT COMPANY LIMITED,Parastatal,1
TEA RESEARCH FOUNDATION OF KENYA,Parastatal,1
KENYA PORTS AUTHORITY,Parastatal,1
KENYA INDUSTRIAL ESTATES,Parastatal,1
MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,1
OFFICE OF THE PRESIDENT,University,1
COUNTY COUNCIL OF WARENG,Local Authorities,1
POSTAL CORPORATION OF KENYA,Parastatal,1
KENYATTA INTERNATIONAL CONFERENCE CENTRE,Parastatal,1
RIFT VALLELY WATER SERVICES BOARD,Parastatal,1
UNIVERSITY OF KABIANGA,University,1
KENYA RE-INSURANCE CORPORATION LIMITED,Parastatal,1
PEST CONTROL PRODUCTS BOARD,Parastatal,1
KENYA ICT BOARD,Parastatal,1
KIMATHI UNIVERSITY COLLEGE OF TECHNOLOGY,University,1
MINISTRY OF ENERGY,Parastatal,1
KENYATTA NATIONAL HOSPITAL,Hospital,1
KENYA POST OFFICE SAVINGS BANK,Banks,1
KENYA RAILWAY CORPORATION,Parastatal,1
KENYA URBAN ROADS AUTHORITY,Parastatal,1
NATIONAL CEREALS AND PRODUCE BOARD,Parastatal,1
KENYA NATIONAL LIBRARY SERVICE,Parastatal,1
KENYA PIPELINE COMPANY LIMITED,Parastatal,1
KENYA POWER AND LIGHTING COMPANY LTD,Parastatal,1
KENYA INSTITUTE OF EDUCATION,Parastatal,1
HIGHER EDUCATION LOANS BOARD (HELB),Parastatal,1
NATIONAL MUSEUMS OF KENYA,Parastatal,1
KENYA REVENUE AUTHORITY,Parastatal,1
PPOA,University,1
KENYA AIRPORTS AUTHORITY,Parastatal,1
MINISTRY OF STATE FOR PUBLIC SERVICE,Ministry,1
ENERGY REGULATORY COMMISION,Parastatal,1
INSURANCE REGULATORY AUTHORITY,Parastatal,1
AGRO CHEMICAL AND FOOD COMPANY LIMITED,Parastatal,1
PARLIAMENTARY SERVICE COMMISSION,National Assembly,1
SOUTH NYANZA SUGAR CO.LTD,Parastatal,1
CAPITAL MARKET AUTHORITY,Parastatal,1
PWANI UNIVERSITY,University,1
MAASAI MARA UNIVERSITY,University,1
MINISTRY OF FINANCE,Ministry,1
MULTIMEDIA UNIVERSITY COLLEGE,University,1
KENYA INDUSTRIAL RESEARCH DEVELOPMENT INSTITUTE,Parastatal,1
KENYA SUGAR RESEARCH FOUNDATION,Parastatal,1
NATIONAL AIDS CONTROL COUNCIL,Parastatal,1
YOUTH ENTERPRISE DEVELOPMENT FUND BOARD,Parastatal,1
NATIONAL OIL CORPORATION OF KENYA,Parastatal,1
K,Parastatal,1
POSTAL CORPORATION OF KENYA,Parastatal,1
COMMUNICATIONS COMMISSION OF KENYA,Parastatal,1
NATIONAL HOSPITAL INSURANCE FUND,Parastatal,1
UNIVERSITY OF NAIROBI,University,1
CHEPKOILEL UNIVERSITY COLLEGE,University,1
LAKE VICTORIA  SOUTH WATER SERVICES BOARD,Parastatal,1
KENYA ANIMAL GENETIC RESOURCE CENTRE,Parastatal,1
KENYA WATER INSTITUTE,Parastatal,1
NORTHEN WATER SERVICES BOARD,Parastatal,1
KENYA ELECTRICITY TRANSMISSION CO. LTD,Parastatal,1
NZOIA SUGAR COMPANY LIMITED,Parastatal,1
KENYA MEDICAL TRAINING COLLEGE,University,1
SMALLHOLDER HORTICULTURE MARKETING PROGRAMME,Parastatal,1
NATIONAL IRRIGATION BOARD,Parastatal,1
SEVENSEAS TECHNOLOGIES LIMITED,Co-operative Society,1
KENYA SCHOOL OF GOVERNMENT,Parastatal,1
RONGO UNIVERSITY COLLEGE,University,1
SOUTH EASTERN UNIVERSITY COLLEGE,University,1
GITHUNGURI DAIRY FARMERS CO-OPERATIVE SOCIETY,Parastatal,1
RIVATEX EAST AFRICA LIMITED,University,1
COASTAL WATER SERVICES BOARD,Parastatal,1
KENYA VISION 2030,Ministry,1
TANA WATER SERVICES BOARD,Parastatal,1
MOI UNIVERSITY,University,1
THE TEA BOARD OF KENYA,Parastatal,1
MINISTRY OF EDUCATION,Ministry,1
MINISTRY OF TOURISM,Ministry,1
PWANI UNIVERSITY COLLEGE,University,1
OFFICE OF THE PRESIDENT PROVINCIAL ADMIN & INTERNAL SECURITY -KENYENYA DISTRICT,Ministry,1
KENYA ROADS BOARD,Parastatal,1
TROPICAL COOLING SYSTEMS LTD,Parastatal,1
KISII LEVEL 5 HOSPITAL,Hospital,1
KENYA SEED COMPANY LIMITED,Parastatal,1
KENYA TRADE NETWORK AGENCY,Parastatal,1
KENYA  UTALII COLLEGE,Schools And Colleges,1
KENYATTA UNIVERSITY,University,1
THE COMMISSION ON ADMINSTRATIVE JUSTICE,Judiciary,1
EMBU UNIVERSITY COLLEGE,University,1
MINISTRY OF PUBLIC WORKS,Ministry,1
LAKE BASIN DEVELOPMENT AUTHORITY,Parastatal,1
MINISTRY OF STATE FOR THE DEVELOPMENT OF NORTHERN KENYA AND OTHER ARID LANDS,Ministry,1
KENYA ACCREDITATION SERVICE,Parastatal,1
NATIONAL GENDER AND EQUALITY COMMISSION,Parastatal,1
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",Ministry,1
TOURISM FUND,Parastatal,1
THE KENYA INSTITUTE FOR PUBLIC POLICY RESEARCH AND ANALYSIS,Parastatal,1
KENYA MARINE AND FISHERIES RESEARCH INSTITUTE,Parastatal,1
BUKURA AGRICULTURAL COLLEGE,University,1
TOURISM FINANCE CORPORATION,Parastatal,1
CHUKA UNIVERSITY,University,1
KENYA SAFARI LODGES AND HOTELS,Parastatal,1
MURANG'A UNIVERSITY COLLEGE,University,1
KISUMU POLYTECHNIC,Schools And Colleges,1
NUMERICAL MACHINING COMPLEX,Parastatal,1
MICHUKI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
UNIVERSITY OF NAIROBI ENTERPRISES AND SERVICES LIMITED,University,1
KENYA LITERATURE BUREAU,Parastatal,1
MACHAKOS UNIVERSITY COLLEGE,University,1
EXPORT PROMOTION COUNCIL,Parastatal,1
MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,1
KENYA INSTITUTE FOR THE BLIND,Schools And Colleges,1
GUSII INSTITUTE OF TECHNOLOGY,Schools And Colleges,1
KIRINYAGA UNIVERSITY COLLEGE,University,1
KENYA INVESTMENT AUTHORITY,Parastatal,1
NATIONAL DROUGHT MANAGEMENT AUTHORITY,Parastatal,1
TOURISM REGULATORY AUTHORITY,Parastatal,1
KENYA FERRY SERVICES LTD,Parastatal,1
TOURISM FINANCE CORPORTION,Parastatal,1
KENYA ORDNANCE FACTORY CORPORATION,Parastatal,1
"ENGINEER,S BOARD OF KENYA",Parastatal,1
CONSTITUENCIES DEVELOPMENT FUND BOARD,Parastatal,1
KENYA YEARBOOK EDITORIAL BOARD,Parastatal,1
KENYA VISION 2030 DELIVERY SECRETARIAT,Parastatal,1
KERICHO TEACHERS' TRAINING COLLEGE,Schools And Colleges,1
KENYA TOURISM BOARD,Parastatal,1
MASENO UNIVERSITY,University,1
TAITA TAVETA UNIVERSITY COLLEGE,University,1
WOMEN ENTERPRISE FUND,Parastatal,1
EXPORT PROMOTION COUNCIL,Parastatal,1
TRANSITION AUTHORITY,Ministry,1
SCHOOL EQUIPMENT PRODUCTION UNIT,Parastatal,1
NATIONAL TRANSPORT AND SAFETY AUTHORITY,Parastatal,1
ANTI-FEMALE GENITAL MUTILATION BOARD (ANTI-FGM BOARD),Parastatal,1
LAPSSET CORRIDOR DEVELOPMENT AUTHORITY (LCDA),Parastatal,1
KENYA NATIONAL SHIPPING LINE LTD,Parastatal,1
THIKA TECHNICAL TRAINING INSTITUTE,University,1
KENYA NATIONAL COMMISSION FOR UNESCO,Parastatal,1
ICT AUTHORITY,Parastatal,1
KISII UNIVERSITY,University,1
COMMUNICATIONS AUTHORITY OF KENYA,Parastatal,1
KENYA UNIVERSITIES AND COLLEGES CENTRAL PLACEMENT SERVICES,Parastatal,1
KABETE TECHNICAL TRAINING INSTITUTE,University,1
KENYA EDUCATION MANANGEMENT INSTITUTE,Parastatal,1
JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,University,1
KIBABII UNIVERSITY COLLEGE,University,1
MEDIA COUNCIL OF KENYA (MCK),Parastatal,1
KENYA NATIONAL TRADING CORPORATION LTD,Parastatal,1
UNIVERSITY OF ELDORET,University,1
KENYA INVESTMENT AUTHORITY,Parastatal,1
MAKUENI COUNTY ASSEMBLY,County Assembly,1
NATIONAL COMMUNICATIONS SECRETARIAT,Parastatal,1
KENYA BROADCASTING CORPORATION,Parastatal,1
COUNTY ASSEMBLY OF MERU,Local Authorities,1
INFORMATION & COMMUNICATION TECHNOLOGY AUTHORITY,Parastatal,1
THE CO-OPERATIVE UNIVERSITY COLLEGE,University,1
